pid,model,regime,n,updates,median_mm,p95_mm,p99_mm,win_pct,along_mean_mm,jump_median_mm,jump_p95_mm,jump_p99_mm,correction8_median_mm,correction8_p95_mm,correction8_p99_mm,innovation8_p95_mm
38153,raw,all,6709,876,0.9868994271880821,3.836692727400786,5.843234087972951,0.0,0.11514726768181625,0.765900341859993,2.5985938489444553,4.056357292679415,0.765900341859993,2.5985938489444553,4.056357292679415,2.5985938489444553
38153,raw,speed_lt_0.01,1139,152,0.04039178216771172,0.13094508929414986,1.2310048737249393,0.0,0.056684651358475134,0.05659528656798847,0.13387301785536454,0.557919197270945,0.05659528656798847,0.13387301785536454,0.557919197270945,0.13387301785536454
38153,raw,speed_ge_0.05,5102,663,1.177686853630966,4.084022444816354,6.1365749729087415,0.0,0.06073626015714736,0.9571153961230517,2.96210696477697,4.146199691852032,0.9571153961230517,2.96210696477697,4.146199691852032,2.96210696477697
38153,raw,speed_ge_0.2,2978,386,1.322637169669309,4.494791913349192,6.435145736215389,0.0,-0.04593658097584897,1.1407393935028733,3.146298173275419,4.857423944630423,1.1407393935028733,3.146298173275419,4.857423944630423,3.146298173275419
38153,raw,speed_ge_0.4,423,54,2.9125908588110496,6.414108544619411,8.272975727178506,0.0,0.036186299393280094,2.1668741832843357,4.949551303346836,7.628207500636036,2.1668741832843357,4.949551303346836,7.628207500636036,4.949551303346836
38153,raw,accel_lt_0.5,2153,291,0.12278932826725669,1.6710365528683269,2.564956717613396,0.0,0.011371703679698189,0.12499698089826149,0.5278417850480359,0.5598494441685292,0.12499698089826149,0.5278417850480359,0.5598494441685292,0.5278417850480359
38153,raw,accel_ge_2,578,74,2.8687897908442466,6.447718646568061,7.814714514094266,0.0,0.798254552304213,2.8677174439817916,4.949551303346836,7.561700182761247,2.8677174439817916,4.949551303346836,7.561700182761247,4.949551303346836
38153,raw,reversal,102,10,1.770196896580603,6.989427324359788,8.373355315860428,0.0,2.430288029873689,1.0565762251123414,3.540445798244039,4.318655954619754,1.0565762251123414,3.540445798244039,4.318655954619754,3.540445798244039
38153,raw,horizon_40_80ms,6683,868,0.9914309733476906,3.8412582636505963,5.84439025843239,0.0,0.11623643656432593,0.7729335909590553,2.6085143897774508,4.062092575862691,0.7729335909590553,2.6085143897774508,4.062092575862691,2.6085143897774508
38153,ema_0.25,all,6709,876,1.412497634411399,6.484231149098038,10.554522212175844,31.971977940080485,0.3849661892351542,0.5613822094428207,2.484426307286817,3.5532246968932055,0.5613822094428207,2.484426307286817,3.5532246968932055,2.484426307286817
38153,ema_0.5,all,6709,876,1.1253689858844937,4.72153193970132,7.382054513595728,40.91518855269042,0.21053435890791225,0.5650963212312141,2.080536048101878,3.1611134865815584,0.5650963212312141,2.080536048101878,3.1611134865815584,2.080536048101878
38153,ema_0.75,all,6709,876,1.0263250431902537,4.073197635456756,6.382876870152017,48.457296169324785,0.1503967623630199,0.6320204310324635,2.326256986628833,3.4424565722852996,0.6320204310324635,2.326256986628833,3.4424565722852996,2.326256986628833
38153,bounded_acceleration,all,6709,876,0.9716648711752364,3.470286200595559,5.349201782233005,43.83663735280966,0.01850383561639555,0.9022473168248015,3.107198476673066,4.299178189105183,0.9022473168248015,3.107198476673066,4.299178189105183,3.107198476673066
38153,bounded_acceleration,speed_lt_0.01,1139,152,0.04039178216771172,0.13094508929414986,1.2310048737249393,0.0,0.056684651358475134,0.05659528656798847,0.13387301785536454,0.5294147934407489,0.05659528656798847,0.13387301785536454,0.5294147934407489,0.13387301785536454
38153,bounded_acceleration,speed_ge_0.05,5102,663,1.1640394019026523,3.755208359513241,5.619241183341171,52.29321834574676,-0.04979078451145464,1.1322607422969864,3.2733760413280186,4.389802949186183,1.1322607422969864,3.2733760413280186,4.389802949186183,3.2733760413280186
38153,bounded_acceleration,speed_ge_0.2,2978,386,1.367294739011941,4.192670596197697,5.861495836864667,44.123572867696446,-0.16555360111698564,1.3873539174090004,3.6399993438551546,5.2307898061563245,1.3873539174090004,3.6399993438551546,5.2307898061563245,3.6399993438551546
38153,bounded_acceleration,speed_ge_0.4,423,54,2.614543128282825,5.938836741321026,7.789571738722875,65.95744680851064,-0.3482902582775819,2.596337320168597,5.321882919165813,7.636307995216251,2.596337320168597,5.321882919165813,7.636307995216251,5.321882919165813
